Путь,Категории,Кол-во,УЗ,Формат,Рекомендации
Прочее\2024%20Y%C4%B1l%C4%B1%20%C4%B0dare%20Faaliyet%20Raporu.pdf,"standard_dob: 150, payment_cvv: 806",956,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2025-2.pdf,"standard_fio: 4, standard_phone: 3, standard_email: 1, standard_address: 1, state_passport: 1, state_inn: 1, payment_cvv: 361",372,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2025-_.pdf,"standard_fio: 1, standard_phone: 2, standard_address: 1, payment_cvv: 36",40,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2025-olanaklar.pdf,payment_cvv: 22,22,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2025.pdf,"standard_email: 2, payment_cvv: 70",72,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2025_MSASM_PI_E010.pdf,payment_cvv: 28,28,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2025Правила%20приёма%202025.26.pdf,"standard_fio: 36, standard_dob: 36, standard_address: 20, payment_cvv: 40, special_health: 7",139,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\216e9fc932f0a2027c207d9b1bb2e0cd.pdf,"standard_fio: 3, standard_address: 27, payment_cvv: 8, special_health: 2",40,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2190-4286-12-49-S1.pdf,"standard_phone: 1, payment_cvv: 9",10,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\2190-4286-12-49.pdf,"standard_email: 2, payment_cvv: 168",170,УЗ-2,.pdf,AES-256 + RBAC + Аудит
Прочее\22nssvm5rk9x2ss9h33xq5h9ckbae1gd.pdf,"standard_fio: 6, standard_email: 1, standard_dob: 5, standard_address: 18, payment_cvv: 87, special_health: 13",130,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\24.11.2020 - форма заявления на участие в конкурсе.docx,"standard_email: 1, standard_address: 1",2,УЗ-4,.docx,Контроль доступа + Сверка
Прочее\24.11.2020 - форма согласия соискателя.docx,"standard_dob: 2, standard_address: 1, payment_cvv: 3",6,УЗ-2,.docx,AES-256 + RBAC + Аудит
Прочее\24n.pdf,standard_dob: 18,18,УЗ-4,.pdf,Контроль доступа + Сверка
Прочее\27.04.04.pdf,"standard_address: 7, payment_cvv: 16, special_health: 6",29,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\27.04.06.pdf,"standard_dob: 1, standard_address: 7, state_passport: 1, state_inn: 1, payment_cvv: 13, special_health: 16",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\28.04.01_r.pdf,"standard_address: 5, payment_cvv: 23, special_health: 11",39,УЗ-1,.pdf,AES-256 + RBAC + Аудит
Прочее\2n8uitfe0x.pdf,"standard_fio: 8, standard_address: 2, payment_cvv: 13",23,УЗ-2,.pdf,AES-256 + RBAC + Аудит
